bfs_nr,metric,residual,zscore
1,income_median_2022,8018.609933741318,1.0910700877057873
2,income_median_2022,-6771.508801803662,-0.9213804840656792
3,income_median_2022,5826.259897204109,0.7927630785842725
4,income_median_2022,-3334.210023753076,-0.45367674111919803
5,income_median_2022,4661.059325714363,0.634217457805213
6,income_median_2022,5415.43896234643,0.7368638096174126
7,income_median_2022,1221.7794313809864,0.16624414984256553
8,income_median_2022,-7079.650301246453,-0.9633084460941268
9,income_median_2022,2800.093514413413,0.38100098416060496
10,income_median_2022,-4380.593317923383,-0.596055223422001
11,income_median_2022,156.41268089543883,0.021282641115235597
12,income_median_2022,4650.628380303657,0.6327981478976161
13,income_median_2022,11105.099826391917,1.5110402353627983
14,income_median_2022,13792.297491997102,1.8766797934559631
22,income_median_2022,-6847.973995048305,-0.9317848915364573
23,income_median_2022,1152.3659988072322,0.1567992559529747
24,income_median_2022,1955.372115964863,0.2660620785512892
25,income_median_2022,2228.734573324218,0.3032577524637351
26,income_median_2022,1765.455013846935,0.24022058345714445
27,income_median_2022,-5615.348286910936,-0.7640649187981955
28,income_median_2022,854.9899430325822,0.1163361180853539
29,income_median_2022,3828.9550625587435,0.5209953309174468
31,income_median_2022,-4896.712677526681,-0.6662821579657896
33,income_median_2022,-1278.6630993503786,-0.17398415329868105
34,income_median_2022,1326.6096281335558,0.1805081049308105
35,income_median_2022,-3360.5392027317794,-0.4572592797206377
37,income_median_2022,-5013.218434251459,-0.6821347742245061
38,income_median_2022,-6759.4010372397315,-0.9197330140111626
39,income_median_2022,-4634.786353652424,-0.6306425671235648
40,income_median_2022,-6563.418240482453,-0.8930661766149431
41,income_median_2022,-6183.245766500986,-0.8413371589974531
43,income_median_2022,-4030.417792259592,-0.548407807641028
51,income_median_2022,-2936.0073048800477,-0.39949439792062263
52,income_median_2022,-975.708753252271,-0.1327619928869092
53,income_median_2022,-4517.731131512875,-0.614715186624757
54,income_median_2022,-70.30679876720387,-0.009566451757986864
55,income_median_2022,1481.6419512249922,0.2016029245754023
56,income_median_2022,-7184.809529043159,-0.9776171715270014
57,income_median_2022,-584.3262571214073,-0.07950765854360362
58,income_median_2022,-3948.724595920372,-0.5372920402410278
59,income_median_2022,-3642.4876706068826,-0.495623228349508
60,income_median_2022,-7721.550591133368,-1.0506500441232647
61,income_median_2022,2598.949673493611,0.35363189775195225
62,income_median_2022,-2293.9118936454615,-0.3121262502690843
63,income_median_2022,4942.1964996195165,0.6724710159062659
64,income_median_2022,2708.1684499128824,0.3684929947440207
65,income_median_2022,-552.5121239793152,-0.07517879739130283
66,income_median_2022,-1963.2545462625058,-0.2671346190523558
67,income_median_2022,-1832.8327833693984,-0.24938849030256485
68,income_median_2022,-6937.956322593789,-0.9440285381059088
69,income_median_2022,6321.64173503028,0.860168315864928
70,income_median_2022,-3313.3498848630843,-0.4508383596844699
71,income_median_2022,2746.928312818025,0.3737669421449821
72,income_median_2022,10161.268935519634,1.3826157750894232
81,income_median_2022,-287.50274523965345,-0.03911970379608283
82,income_median_2022,8668.1909396946,1.179456779538143
83,income_median_2022,-4134.428014609766,-0.562560191079008
84,income_median_2022,1258.90400058034,0.17129558734945013
85,income_median_2022,-4153.386710467494,-0.565139848416527
86,income_median_2022,-1425.4160607617669,-0.19395242308624758
87,income_median_2022,8932.837324433218,1.2154664815430716
88,income_median_2022,11062.822197210473,1.5052876352288411
89,income_median_2022,-5028.61535022685,-0.6842297900193235
90,income_median_2022,-6045.128564791114,-0.8225439331604959
91,income_median_2022,167.05361248827103,0.022730523262165986
92,income_median_2022,-9364.687584081541,-1.274227152602479
93,income_median_2022,-2545.6591109303263,-0.3463807982159662
94,income_median_2022,5653.323283745121,0.7692320716424993
95,income_median_2022,4437.560145454299,0.6038065421697716
96,income_median_2022,-6841.258331938763,-0.9308711098213623
97,income_median_2022,-1868.5196974668434,-0.25424431005386694
98,income_median_2022,-2138.094393121173,-0.2909245937016835
99,income_median_2022,99.65780260990869,0.013560161715388744
100,income_median_2022,-2867.8072398674267,-0.39021460360094284
101,income_median_2022,-3178.4489166156854,-0.43248275784406326
102,income_median_2022,-6344.714363029998,-0.8633077445767968
111,income_median_2022,-5967.467168288007,-0.8119767616190237
112,income_median_2022,156.21894215804787,0.02125627962079406
113,income_median_2022,-7503.370213785667,-1.0209628432972522
114,income_median_2022,-9835.69419579125,-1.3383157202463152
115,income_median_2022,-5717.852962003337,-0.77801244658262
116,income_median_2022,-3168.91843216055,-0.43118597116953156
117,income_median_2022,-4698.336686559822,-0.6392896852490196
118,income_median_2022,-10810.60462138753,-1.470969086895904
119,income_median_2022,98.0222828301703,0.013337621060054594
120,income_median_2022,-13427.589652731098,-1.8270550059350572
121,income_median_2022,-6946.486812744122,-0.9451892583196871
131,income_median_2022,-1458.738080130679,-0.1984864581491565
