bfs_nr,municipality,energyreporter_date,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita
1,Aeugst am Albis,2021-03-31,,
1,Aeugst am Albis,2021-04-30,,
1,Aeugst am Albis,2021-05-31,,
1,Aeugst am Albis,2021-06-30,,
1,Aeugst am Albis,2021-07-31,,
1,Aeugst am Albis,2021-08-31,,
1,Aeugst am Albis,2021-09-30,,
1,Aeugst am Albis,2021-10-31,,
1,Aeugst am Albis,2021-11-30,,
1,Aeugst am Albis,2021-12-31,,
1,Aeugst am Albis,2022-01-31,,
1,Aeugst am Albis,2022-02-28,,
1,Aeugst am Albis,2022-03-31,,
1,Aeugst am Albis,2022-04-30,,
1,Aeugst am Albis,2022-05-31,,
1,Aeugst am Albis,2022-06-30,,
1,Aeugst am Albis,2022-07-31,,
1,Aeugst am Albis,2022-08-31,,
1,Aeugst am Albis,2022-09-30,,
1,Aeugst am Albis,2022-10-31,,
1,Aeugst am Albis,2022-11-30,,
1,Aeugst am Albis,2022-12-31,,
1,Aeugst am Albis,2023-01-31,,
1,Aeugst am Albis,2023-02-28,,
1,Aeugst am Albis,2023-03-31,,
1,Aeugst am Albis,2023-04-30,,
1,Aeugst am Albis,2023-05-31,4.6724,3.2323
1,Aeugst am Albis,2023-06-30,4.6635,3.2223
1,Aeugst am Albis,2023-07-31,4.6436,3.2004
1,Aeugst am Albis,2023-08-31,4.568,3.0354
1,Aeugst am Albis,2023-09-30,4.5909,3.0324
1,Aeugst am Albis,2023-10-31,4.5839,3.0185
1,Aeugst am Albis,2023-11-30,4.5804,3.011
1,Aeugst am Albis,2023-12-31,4.5765,3.0031
1,Aeugst am Albis,2024-01-31,4.568,2.9931
1,Aeugst am Albis,2024-02-29,4.5849,2.9986
1,Aeugst am Albis,2024-03-31,4.5849,2.9986
1,Aeugst am Albis,2024-04-30,4.5465,3.0277
1,Aeugst am Albis,2024-05-31,4.5134,3.0096
1,Aeugst am Albis,2024-06-30,4.5004,3.0081
1,Aeugst am Albis,2024-07-31,4.5004,3.0081
1,Aeugst am Albis,2024-08-31,4.2569,2.9224
1,Aeugst am Albis,2024-09-30,4.4829,2.9189
1,Aeugst am Albis,2024-10-31,4.4623,2.9119
1,Aeugst am Albis,2024-11-30,4.4648,2.9179
1,Aeugst am Albis,2024-12-31,4.4779,2.9335
1,Aeugst am Albis,2025-01-31,4.4824,2.9124
1,Aeugst am Albis,2025-02-28,3.9687,2.5812
1,Aeugst am Albis,2025-03-31,4.0022,2.5892
1,Aeugst am Albis,2025-04-30,4.0297,2.5949
1,Aeugst am Albis,2025-05-31,4.0447,2.6059
1,Aeugst am Albis,2025-06-30,4.0397,2.583
1,Aeugst am Albis,2025-07-31,4.1483,2.563
1,Aeugst am Albis,2025-08-31,4.097,2.5302
1,Aeugst am Albis,2025-09-30,4.0965,2.5292
1,Aeugst am Albis,2025-10-31,4.1588,2.6019
2,Affoltern am Albis,2021-03-31,,
2,Affoltern am Albis,2021-04-30,,
2,Affoltern am Albis,2021-05-31,,
