bfs_nr,total_elec_per_capita_mwh_2024,household_elec_per_capita_mwh_2024,capital_avg_2022,capital_median_2022,income_avg_2022,income_median_2022,municipality,ratio_consum_to_capital_median,ratio_consum_to_capital_avg
1,4.495275,2.9707000000000003,851000.0,200000.0,96700.0,68800.0,Aeugst am Albis,1.4853500000000001e-05,3.4908343125734435e-06
2,4.198583333333334,1.67875,334000.0,48000.0,62900.0,52400.0,Affoltern am Albis,3.4973958333333336e-05,5.026197604790419e-06
3,2.789025,1.7382833333333334,432000.0,118000.0,80400.0,67100.0,Bonstetten,1.4731214689265538e-05,4.023804012345679e-06
4,3.874125,2.2510166666666667,523000.0,125000.0,78800.0,57200.0,Hausen am Albis,1.8008133333333335e-05,4.304047163798598e-06
5,5.465508333333333,2.1699083333333333,556000.0,111000.0,83100.0,62800.0,Hedingen,1.9548723723723725e-05,3.902712829736211e-06
6,3.7826916666666666,2.2002083333333333,530000.0,143000.0,86300.0,66000.0,Kappel am Albis,1.538607226107226e-05,4.1513364779874215e-06
7,3.0750166666666665,1.809475,403000.0,124000.0,76100.0,62200.0,Knonau,1.4592540322580645e-05,4.4900124069478905e-06
8,4.364158333333333,2.8508416666666663,407000.0,120000.0,64800.0,53700.0,Maschwanden,2.3757013888888886e-05,7.004524979524979e-06
9,4.4245,2.0920916666666667,532000.0,110000.0,80100.0,62300.0,Mettmenstetten,1.9019015151515153e-05,3.93250313283208e-06
10,3.6986833333333333,2.1216,359000.0,70000.0,68500.0,56200.0,Obfelden,3.0308571428571428e-05,5.90974930362117e-06
11,4.632241666666666,2.752925,453000.0,110000.0,74900.0,60400.0,Ottenbach,2.502659090909091e-05,6.077097130242825e-06
12,3.7544166666666663,2.152233333333333,563000.0,184000.0,84300.0,65200.0,Rifferswil,1.1696920289855072e-05,3.822794552989935e-06
13,3.780666666666667,2.0142666666666664,588000.0,125000.0,93300.0,71400.0,Stallikon,1.6114133333333332e-05,3.4256235827664395e-06
14,3.4150833333333335,1.9455333333333333,807000.0,199000.0,108500.0,74500.0,Wettswil am Albis,9.776549413735343e-06,2.4108219743907475e-06
22,4.625591666666667,2.4318916666666666,702000.0,93000.0,76300.0,52900.0,Benken (ZH),2.614937275985663e-05,3.46423314339981e-06
23,4.497958333333333,3.3330333333333333,1790000.0,205000.0,115700.0,62500.0,Berg am Irchel,1.625869918699187e-05,1.8620297951582868e-06
24,4.255,2.7297166666666666,465000.0,145000.0,72900.0,62700.0,Buch am Irchel,1.8825632183908047e-05,5.870358422939068e-06
25,5.329441666666667,2.3850166666666666,454000.0,153000.0,71900.0,60900.0,Dachsen,1.558834422657952e-05,5.253340675477239e-06
26,4.507725,2.8886416666666666,425000.0,87000.0,71300.0,62400.0,Dorf,3.3202777777777775e-05,6.796803921568627e-06
27,3.4176750000000005,1.6349416666666665,366000.0,59000.0,66900.0,54600.0,Feuerthalen,2.7710875706214686e-05,4.46705373406193e-06
28,5.670508333333333,3.0585916666666666,421000.0,94000.0,68100.0,60100.0,Flaach,3.253820921985815e-05,7.2650633412509894e-06
29,4.120266666666667,2.0524416666666667,552000.0,156000.0,81700.0,63700.0,Flurlingen,1.315667735042735e-05,3.718191425120773e-06
31,3.871033333333333,2.2243833333333334,413000.0,140000.0,66400.0,55600.0,Henggart,1.588845238095238e-05,5.38591606133979e-06
33,5.688133333333333,2.9688250000000003,452000.0,129000.0,68600.0,57800.0,Kleinandelfingen,2.3014147286821706e-05,6.5681969026548675e-06
34,4.591616666666667,2.7986333333333335,732000.0,154000.0,83900.0,61700.0,Laufen-Uhwiesen,1.8172943722943723e-05,3.8232695810564666e-06
35,6.959700000000001,3.02845,473000.0,124000.0,67300.0,54000.0,Marthalen,2.442298387096774e-05,6.4026427061310775e-06
37,4.315875,2.5742083333333334,372000.0,102000.0,63000.0,55400.0,Ossingen,2.523733660130719e-05,6.9199148745519715e-06
38,5.698533333333334,2.902441666666667,342000.0,82000.0,61600.0,52200.0,Rheinau,3.539563008130082e-05,8.486671539961014e-06
39,4.258066666666667,2.853358333333333,368000.0,107000.0,67500.0,56300.0,Thalheim an der Thur,2.6666900311526477e-05,7.753691123188405e-06
40,4.9157416666666665,2.8316166666666667,473000.0,149000.0,62900.0,53400.0,Trüllikon,1.900413870246085e-05,5.986504580690627e-06
41,5.076058333333333,2.5444999999999998,408000.0,143000.0,63800.0,53100.0,Truttikon,1.779370629370629e-05,6.236519607843137e-06
43,4.490025,3.0606666666666666,390000.0,102000.0,69400.0,56900.0,Volken,3.000653594771242e-05,7.847863247863249e-06
51,5.399533333333333,1.7904916666666668,392000.0,55000.0,67400.0,54700.0,Bachenbülach,3.2554393939393944e-05,4.567580782312925e-06
52,3.5747083333333336,1.4977333333333334,337000.0,57000.0,68800.0,58800.0,Bassersdorf,2.6276023391812867e-05,4.4443125618199805e-06
53,3.758016666666667,1.3726666666666665,272000.0,38000.0,64500.0,54800.0,Bülach,3.612280701754385e-05,5.04656862745098e-06
54,5.275025,1.3181666666666667,412000.0,69000.0,70600.0,57000.0,Dietlikon,1.9103864734299516e-05,3.199433656957929e-06
55,3.6961833333333334,2.2704583333333335,415000.0,85000.0,75600.0,62300.0,Eglisau,2.671127450980392e-05,5.470983935742972e-06
56,3.5342749999999996,1.5940166666666666,286000.0,37000.0,63000.0,52800.0,Embrach,4.3081531531531534e-05,5.573484848484849e-06
57,4.409741666666666,2.5772999999999997,463000.0,111000.0,71200.0,59700.0,Freienstein-Teufen,2.3218918918918917e-05,5.5665226781857445e-06
58,3.608425,2.146716666666667,275000.0,59000.0,65900.0,56800.0,Glattfelden,3.6385028248587576e-05,7.806242424242425e-06
59,2.9415833333333334,1.8565916666666666,381000.0,82000.0,69900.0,57600.0,Hochfelden,2.2641361788617886e-05,4.872944006999125e-06
60,4.874916666666667,1.7510750000000002,252000.0,22000.0,58300.0,50600.0,Höri,7.959431818181818e-05,6.9487103174603185e-06
61,5.251283333333333,2.650958333333333,426000.0,121000.0,75400.0,61800.0,Hüntwangen,2.1908746556473828e-05,6.222906885758998e-06
62,6.969133333333333,1.2785333333333333,245000.0,24000.0,62700.0,52300.0,Kloten,5.327222222222222e-05,5.218503401360544e-06
63,3.1760333333333333,2.0151083333333335,432000.0,87000.0,82100.0,66100.0,Lufingen,2.3162164750957857e-05,4.6646026234567905e-06
64,3.366566666666667,2.0821833333333335,659000.0,120000.0,86600.0,63700.0,Nürensdorf,1.735152777777778e-05,3.1596105209914015e-06
65,3.872866666666667,2.579308333333333,403000.0,104000.0,72800.0,60500.0,Oberembrach,2.4801041666666664e-05,6.4002688172043e-06
66,5.511150000000001,1.082625,215000.0,19000.0,65600.0,54400.0,Opfikon,5.6980263157894733e-05,5.03546511627907e-06
67,4.561050000000001,2.1731333333333334,351000.0,78000.0,67800.0,57600.0,Rafz,2.7860683760683762e-05,6.191263057929725e-06
