bfs_nr,capital_avg_2022,capital_median_2022,income_avg_2022,income_median_2022
0,491000.0,99000.0,78800.0,60100.0
1,851000.0,200000.0,96700.0,68800.0
2,334000.0,48000.0,62900.0,52400.0
3,432000.0,118000.0,80400.0,67100.0
4,523000.0,125000.0,78800.0,57200.0
5,556000.0,111000.0,83100.0,62800.0
6,530000.0,143000.0,86300.0,66000.0
7,403000.0,124000.0,76100.0,62200.0
8,407000.0,120000.0,64800.0,53700.0
9,532000.0,110000.0,80100.0,62300.0
10,359000.0,70000.0,68500.0,56200.0
11,453000.0,110000.0,74900.0,60400.0
12,563000.0,184000.0,84300.0,65200.0
13,588000.0,125000.0,93300.0,71400.0
14,807000.0,199000.0,108500.0,74500.0
21,544000.0,170000.0,68700.0,60900.0
22,702000.0,93000.0,76300.0,52900.0
23,1790000.0,205000.0,115700.0,62500.0
24,465000.0,145000.0,72900.0,62700.0
25,454000.0,153000.0,71900.0,60900.0
26,425000.0,87000.0,71300.0,62400.0
27,366000.0,59000.0,66900.0,54600.0
28,421000.0,94000.0,68100.0,60100.0
29,552000.0,156000.0,81700.0,63700.0
30,519000.0,121000.0,74900.0,58500.0
31,413000.0,140000.0,66400.0,55600.0
32,640000.0,252000.0,82200.0,62300.0
33,452000.0,129000.0,68600.0,57800.0
34,732000.0,154000.0,83900.0,61700.0
35,473000.0,124000.0,67300.0,54000.0
37,372000.0,102000.0,63000.0,55400.0
38,342000.0,82000.0,61600.0,52200.0
39,368000.0,107000.0,67500.0,56300.0
40,473000.0,149000.0,62900.0,53400.0
41,408000.0,143000.0,63800.0,53100.0
43,390000.0,102000.0,69400.0,56900.0
51,392000.0,55000.0,67400.0,54700.0
52,337000.0,57000.0,68800.0,58800.0
53,272000.0,38000.0,64500.0,54800.0
54,412000.0,69000.0,70600.0,57000.0
55,415000.0,85000.0,75600.0,62300.0
56,286000.0,37000.0,63000.0,52800.0
57,463000.0,111000.0,71200.0,59700.0
58,275000.0,59000.0,65900.0,56800.0
59,381000.0,82000.0,69900.0,57600.0
60,252000.0,22000.0,58300.0,50600.0
61,426000.0,121000.0,75400.0,61800.0
62,245000.0,24000.0,62700.0,52300.0
63,432000.0,87000.0,82100.0,66100.0
64,659000.0,120000.0,86600.0,63700.0
65,403000.0,104000.0,72800.0,60500.0
66,215000.0,19000.0,65600.0,54400.0
67,351000.0,78000.0,67800.0,57600.0
68,259000.0,40000.0,61600.0,54300.0
69,402000.0,55000.0,79000.0,61000.0
70,324000.0,123000.0,65700.0,58400.0
71,505000.0,124000.0,81100.0,61400.0
72,777000.0,112000.0,103700.0,71300.0
81,454000.0,160000.0,67900.0,59100.0
82,894000.0,155000.0,106200.0,69100.0
83,289000.0,36000.0,66900.0,55800.0
84,313000.0,37000.0,64300.0,56000.0
85,366000.0,43000.0,70800.0,55500.0
86,303000.0,34000.0,64100.0,54600.0
87,547000.0,139000.0,87000.0,70500.0
88,1399000.0,164000.0,101500.0,72400.0
89,294000.0,45000.0,63300.0,54400.0
90,293000.0,41000.0,63000.0,54100.0
91,468000.0,87000.0,76600.0,59800.0
92,177000.0,18000.0,56800.0,51400.0
93,455000.0,60000.0,75500.0,59100.0
94,374000.0,94000.0,75000.0,62200.0
95,556000.0,91000.0,80800.0,64100.0
96,300000.0,26000.0,62600.0,52100.0
97,265000.0,32000.0,62900.0,53800.0
98,374000.0,90000.0,71900.0,59400.0
99,497000.0,144000.0,78300.0,61400.0
100,366000.0,84000.0,66500.0,58000.0
101,398000.0,68000.0,69000.0,57100.0
102,253000.0,29000.0,62600.0,54800.0
111,397000.0,102000.0,65500.0,54200.0
112,476000.0,108000.0,71400.0,57500.0
113,357000.0,69000.0,64100.0,53200.0
114,243000.0,55000.0,56200.0,50000.0
115,483000.0,90000.0,69300.0,55200.0
116,414000.0,77000.0,67300.0,56300.0
117,401000.0,65000.0,62700.0,52900.0
118,296000.0,38000.0,56800.0,48200.0
119,556000.0,93000.0,72100.0,59800.0
120,285000.0,42000.0,54900.0,46600.0
121,302000.0,39000.0,60700.0,51300.0
131,384000.0,70000.0,81900.0,58400.0
135,1834000.0,204000.0,177300.0,87600.0
136,576000.0,78000.0,84600.0,57200.0
137,906000.0,181000.0,109900.0,69400.0
138,486000.0,85000.0,81100.0,58800.0
139,4485000.0,210000.0,181800.0,83000.0
141,696000.0,126000.0,105700.0,68000.0
151,4479000.0,253000.0,183300.0,79000.0
152,2347000.0,278000.0,173900.0,82300.0
153,476000.0,77000.0,66000.0,51300.0
154,3581000.0,226000.0,173700.0,76900.0
155,678000.0,126000.0,94900.0,64700.0
156,1665000.0,168000.0,122200.0,70900.0
157,281000.0,33000.0,61400.0,52800.0
158,912000.0,142000.0,90000.0,62000.0
159,893000.0,144000.0,104800.0,67100.0
160,2868000.0,229000.0,171700.0,73400.0
161,2406000.0,203000.0,162400.0,77600.0
172,383000.0,69000.0,69900.0,58300.0
173,393000.0,90000.0,70100.0,57900.0
176,406000.0,81000.0,72500.0,60300.0
177,440000.0,78000.0,71000.0,55000.0
178,592000.0,123000.0,80000.0,61600.0
180,520000.0,104000.0,76300.0,57000.0
181,312000.0,61000.0,55900.0,49700.0
182,415000.0,145000.0,67000.0,58600.0
191,330000.0,44000.0,72900.0,57700.0
192,609000.0,102000.0,83300.0,59700.0
193,471000.0,68000.0,78700.0,60200.0
194,577000.0,89000.0,80700.0,59000.0
195,989000.0,137000.0,103000.0,65100.0
196,394000.0,86000.0,65300.0,55200.0
197,380000.0,69000.0,70600.0,57100.0
198,399000.0,71000.0,70300.0,55800.0
199,355000.0,52000.0,70000.0,56000.0
200,409000.0,55000.0,75300.0,58200.0
211,334000.0,94000.0,62400.0,55100.0
213,737000.0,164000.0,90500.0,67600.0
214,376000.0,104000.0,66400.0,55000.0
215,857000.0,186000.0,87400.0,69900.0
216,589000.0,160000.0,75600.0,64300.0
218,386000.0,83000.0,69600.0,63500.0
219,422000.0,95000.0,67200.0,54700.0
220,318000.0,85000.0,62400.0,55200.0
221,697000.0,142000.0,82700.0,61900.0
223,477000.0,104000.0,78000.0,60100.0
224,252000.0,47000.0,61700.0,54900.0
225,432000.0,98000.0,66400.0,55900.0
226,414000.0,149000.0,62100.0,54900.0
227,574000.0,126000.0,77700.0,62700.0
228,279000.0,47000.0,56000.0,50000.0
230,297000.0,40000.0,59400.0,50000.0
231,274000.0,49000.0,57400.0,50200.0
241,676000.0,149000.0,105000.0,76200.0
242,416000.0,101000.0,78000.0,62000.0
243,199000.0,16000.0,55700.0,47300.0
244,491000.0,52000.0,71900.0,55100.0
245,373000.0,38000.0,65700.0,52800.0
246,605000.0,96000.0,83400.0,60800.0
247,185000.0,17000.0,58900.0,52300.0
248,1655000.0,291000.0,155200.0,90300.0
249,543000.0,92000.0,83200.0,62500.0
250,339000.0,52000.0,66600.0,55300.0
251,425000.0,48000.0,80100.0,56500.0
261,432000.0,54000.0,76100.0,55500.0
291,540000.0,142000.0,74600.0,59500.0
292,566000.0,173000.0,64600.0,55000.0
293,499000.0,79000.0,78200.0,57300.0
294,397000.0,82000.0,62800.0,53200.0
295,543000.0,86000.0,90300.0,60500.0
296,349000.0,48000.0,62000.0,51300.0
297,363000.0,70000.0,59100.0,49900.0
298,480000.0,145000.0,73800.0,61000.0
